SKU,Tên sản phẩm,Ráp cho,Loại sản phẩm,Tương thích CPU,Model,Giá,Linked System Model,speed,latency,voltage,form_factor,ecc,brand,quantity,channel,USP,Warranty,Availability,Rating,Tags,Recommended_Use,Image_URL
U3200I-C22-8G,Bộ nhớ máy tính dành cho máy tính để bàn,Desktop,DDR4,Intel,U3200I-C22," 450,000 ","H6312, H6512, B7312, B7512, B7712",DDR4-3200,CL22,1.2V,UDIMM,false,Generic,1,single,"High-performance DDR4 RAM optimized for Intel systems with fast 3200MHz speed and low 1.2V power consumption for efficient multitasking.",1 year,In Stock,4.5,"gaming,high-speed","Gaming, Office",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
U3200I-C22-8GX2,Bộ nhớ máy tính dành cho máy tính để bàn,Desktop,DDR4,Intel,U3200I-C22," 450,000 ","H6312, H6512, B7312, B7512, B7712",DDR4-3200,CL22,1.2V,UDIMM,false,Generic,2,dual,"Dual-channel DDR4 kit for Intel systems, delivering enhanced performance with 3200MHz speed and dual-module configuration for gaming and productivity.",1 year,In Stock,4.5,"gaming,dual-channel","Gaming, Productivity",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
U3200I-C22-16G,Bộ nhớ máy tính dành cho máy tính để bàn,Desktop,DDR4,Intel,U3200I-C22," 800,000 ","H6312, H6512, B7312, B7512, B7712",DDR4-3200,CL22,1.2V,UDIMM,false,Generic,1,single,"16GB DDR4 single module for Intel systems, ideal for high-capacity needs with 3200MHz speed and energy-efficient 1.2V operation.",1 year,In Stock,4.5,"high-capacity,office","Office, Multitasking",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
U3200I-C22-16GX2,Bộ nhớ máy tính dành cho máy tính để bàn,Desktop,DDR4,Intel,U3200I-C22," 800,000 ","H6312, H6512, B7312, B7512, B7712",DDR4-3200,CL22,1.2V,UDIMM,false,Generic,2,dual,"32GB dual-channel DDR4 for Intel systems, perfect for demanding tasks like video editing with fast 3200MHz and dual-module synergy.",1 year,In Stock,4.5,"video-editing,high-capacity","Video Editing, Gaming",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
U3200I-C22-32G,Bộ nhớ máy tính dành cho máy tính để bàn,Desktop,DDR4,Intel,U3200I-C22," 1,700,000 ","H6312, H6512, B7312, B7512, B7712",DDR4-3200,CL22,1.2V,UDIMM,false,Generic,1,single,"32GB high-capacity DDR4 for Intel systems, offering superior multitasking with 3200MHz speed and low-power 1.2V design.",1 year,In Stock,4.5,"high-capacity,multitasking","Multitasking, Server",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
U3200I-C22-32GX2,Bộ nhớ máy tính dành cho máy tính để bàn,Desktop,DDR4,Intel,U3200I-C22," 1,700,000 ","H6312, H6512, B7312, B7512, B7712",DDR4-3200,CL22,1.2V,UDIMM,false,Generic,2,dual,"64GB dual-channel DDR4 kit for Intel systems, maximizing performance for professional workloads with 3200MHz and dual-channel efficiency.",1 year,In Stock,4.5,"professional,dual-channel","Professional Workloads, Gaming",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
U3200A-C22-8G,Bộ nhớ máy tính dành cho máy tính để bàn,Desktop,DDR4,"AMD, Intel",U3200A-C22," 500,000 ",,DDR4-3200,CL22,1.2V,UDIMM,false,Generic,1,single,"Versatile DDR4 RAM compatible with both AMD and Intel, featuring 3200MHz speed and 1.2V efficiency for universal desktop use.",1 year,In Stock,4.5,"universal,compatible","Universal Desktop, Office",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
U3200A-C22-16G,Bộ nhớ máy tính dành cho máy tính để bàn,Desktop,DDR4,"AMD, Intel",U3200A-C22," 900,000 ",,DDR4-3200,CL22,1.2V,UDIMM,false,Generic,1,single,"16GB DDR4 for AMD/Intel compatibility, delivering 3200MHz performance and low 1.2V power for reliable computing.",1 year,In Stock,4.5,"reliable,compatible","Reliable Computing, Office",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
U3200A-C22-32G,Bộ nhớ máy tính dành cho máy tính để bàn,Desktop,DDR4,"AMD, Intel",U3200A-C22," 1,800,000 ",,DDR4-3200,CL22,1.2V,UDIMM,false,Generic,1,single,"32GB universal DDR4 RAM for AMD and Intel systems, with 3200MHz speed and energy-saving 1.2V design for high-capacity tasks.",1 year,In Stock,4.5,"energy-saving,high-capacity","High-Capacity Tasks, Multitasking",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
S3200A-C22-8G,Bộ nhớ máy tính dành cho laptop và miniPC,"Laptop, miniPC",DDR4,"AMD, Intel",S3200A-C22," 600,000 ",,DDR4-3200,CL22,1.2V,SODIMM,false,Generic,1,single,"Compact SODIMM DDR4 for laptops and miniPCs, compatible with AMD/Intel, offering 3200MHz speed in a space-saving form factor.",1 year,In Stock,4.5,"compact,laptop","Laptop, MiniPC",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
S3200A-C22-16G,Bộ nhớ máy tính dành cho laptop và miniPC,"Laptop, miniPC",DDR4,"AMD, Intel",S3200A-C22," 1,000,000 ",,DDR4-3200,CL22,1.2V,SODIMM,false,Generic,1,single,"16GB SODIMM DDR4 for portable devices, with 3200MHz performance and AMD/Intel compatibility for enhanced mobility.",1 year,In Stock,4.5,"mobility,portable","Portable Devices, Office",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
S3200A-C22-32G,Bộ nhớ máy tính dành cho laptop và miniPC,"Laptop, miniPC",DDR4,"AMD, Intel",S3200A-C22," 1,900,000 ",,DDR4-3200,CL22,1.2V,SODIMM,false,Generic,1,single,"32GB high-capacity SODIMM DDR4 for laptops, providing 3200MHz speed and universal compatibility in a compact design.",1 year,In Stock,4.5,"high-capacity,compact","Laptop, High-Capacity",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
U5600-C40-8G,Bộ nhớ máy tính dành cho máy tính để bàn,"Laptop, miniPC",DDR5,,U5600-C40," 450,000 ",,DDR5-5600,CL40,1.1V,UDIMM,false,Generic,1,single,"Next-gen DDR5 RAM with 5600MHz speed and ultra-low 1.1V power, ideal for future-proof desktop and miniPC builds.",3 years,In Stock,4.8,"next-gen,future-proof","Future-Proof, High-Performance",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
U5600-C4-16G,Bộ nhớ máy tính dành cho máy tính để bàn,Desktop,DDR5,,U5600-C40," 800,000 ",,DDR5-5600,CL40,1.1V,UDIMM,false,Generic,1,single,"16GB DDR5 module offering 5600MHz high-speed performance and 1.1V efficiency for advanced computing needs.",3 years,In Stock,4.8,"high-speed,advanced","Advanced Computing, Gaming",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
U5600-C40-32G,Bộ nhớ máy tính dành cho máy tính để bàn,Desktop,DDR5,,U5600-C40," 1,700,000 ",,DDR5-5600,CL40,1.1V,UDIMM,false,Generic,1,single,"32GB DDR5 RAM with cutting-edge 5600MHz speed and low-power 1.1V design, perfect for high-performance desktops.",3 years,In Stock,4.8,"cutting-edge,high-performance","High-Performance, Professional",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
S5600-C40-8G,Bộ nhớ máy tính dành cho laptop và miniPC,"Laptop, miniPC",DDR5,,S5600-C40," 500,000 ",,DDR5-5600,CL40,1.1V,SODIMM,false,Generic,1,single,"Portable DDR5 SODIMM with 5600MHz speed and 1.1V efficiency, enabling next-gen performance in laptops and miniPCs.",3 years,In Stock,4.8,"portable,next-gen","Laptop, Next-Gen",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
S5600-C40-16G,Bộ nhớ máy tính dành cho laptop và miniPC,"Laptop, miniPC",DDR5,,S5600-C40," 900,000 ",,DDR5-5600,CL40,1.1V,SODIMM,false,Generic,1,single,"16GB DDR5 SODIMM for mobile devices, featuring 5600MHz high-speed and low 1.1V power for extended battery life.",3 years,In Stock,4.8,"mobile,high-speed","Mobile Devices, Battery Life",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
S5600-C40-32G,Bộ nhớ máy tính dành cho laptop và miniPC,"Laptop, miniPC",DDR5,,S3200-C40," 1,800,000 ",,DDR5-5600,CL40,1.1V,SODIMM,false,Generic,1,single,"32GB DDR5 SODIMM with 5600MHz performance and 1.1V efficiency, ideal for demanding portable computing.",3 years,In Stock,4.8,"demanding,portable","Demanding Portable, High-Performance",https://cdn.mos.cms.futurecdn.net/7dr4ML5wSoiYJJgDNTprcR-1024-80.jpg.webp
